Year,Month,Day,Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C)
1983,10,1,26,27.8,25
1983,10,2,28.3,32.1,24.6
1983,10,3,28.1,31,26.3
1983,10,4,29,32.2,26
1983,10,5,29,32.4,27.2
1983,10,6,28,31.5,24.5
1983,10,7,26.3,31.3,23.7
1983,10,8,27.7,32.4,23
1983,10,9,28.5,32.9,25
1983,10,10,28.6,33.3,25.4
1983,10,11,28.6,33.7,25.1
1983,10,12,28.9,32.8,25.4
1983,10,13,29.3,33.1,27
1983,10,14,28.3,32.2,25.1
1983,10,15,27.5,30.8,25.6
1983,10,16,28.1,32.6,25
1983,10,17,26.5,32.1,24
1983,10,18,27.8,32.5,24.5
1983,10,19,28.1,32.3,25.1
1983,10,20,27,32,25.1
1983,10,21,28.2,32.5,25.1
1983,10,22,25.9,29.6,22.9
1983,10,23,27.1,30.4,24.7
1983,10,24,27,31,24.8
1983,10,25,27.2,30.6,23.4
1983,10,26,26.4,27.9,23.6
1983,10,27,28.1,32.1,25.2
1983,10,28,26.2,28.7,23.4
1983,10,29,27.4,31.3,25.1
1983,10,30,26.7,30.7,22.4
1983,10,31,26.6,29.6,23.4
1993,10,1,29.1,32.7,25.9
1993,10,2,27.7,32.1,24.5
1993,10,3,27.3,30.4,25
1993,10,4,27.6,32.1,24.9
1993,10,5,27.9,31.8,25.2
1993,10,6,29,32.5,25.2
1993,10,7,29.5,33.1,26.9
1993,10,8,29.6,33.2,27.3
1993,10,9,27.9,32,25.7
1993,10,10,27.3,33,24.5
1993,10,11,25.7,26.4,24.3
1993,10,12,27.1,31.2,24.6
1993,10,13,26.7,31.6,24.3
1993,10,14,27.2,32.4,24.3
1993,10,15,27.2,30.2,23.1
1993,10,16,25.9,28.8,22.5
1993,10,17,27.6,32.2,23.8
1993,10,18,26.8,32.5,24.4
1993,10,19,27.1,31.5,24.5
1993,10,20,27.2,32.5,23.6
1993,10,21,27.5,33.1,23.6
1993,10,22,26.5,31.2,24.6
1993,10,23,27.6,32.4,23.6
1993,10,24,28,32.1,25.1
1993,10,25,28.2,31,25.9
1993,10,26,28,31.7,24.4
1993,10,27,28.1,31.5,25.8
1993,10,28,27.1,31,25.2
1993,10,29,27.5,31.7,24.4
1993,10,30,26,31,23.8
1993,10,31,26.7,30.6,23.6
2003,10,1,29.1,32.2,26.5
2003,10,2,29.2,32.1,26.9
2003,10,3,28.8,32.2,24.9
2003,10,4,27.9,31.7,24.2
2003,10,5,28.2,32.3,24.4
2003,10,6,26.2,28.2,24.5
2003,10,7,28,32.7,24.6
2003,10,8,25.7,26.6,24
2003,10,9,27.5,31.3,24.8
2003,10,10,27.5,31.3,23.7
2003,10,11,27.1,30.2,23
2003,10,12,25.4,27.4,22.6
2003,10,13,27.3,30,25.2
2003,10,14,27.3,31.2,23.4
2003,10,15,26.4,30.7,22.9
2003,10,16,28.6,32.8,24.1
2003,10,17,26.5,29.8,22.7
2003,10,18,27.6,31.2,24.3
2003,10,19,28.3,32,25.4
2003,10,20,27.3,31.5,23.2
2003,10,21,28.9,31.9,26
2003,10,22,29.7,33,27
2003,10,23,29.4,32.5,26.4
2003,10,24,29.3,32.8,26.8
2003,10,25,26.9,29.2,25.7
2003,10,26,28.1,32.4,25.4
2003,10,27,27.3,32,22.9
2003,10,28,25.8,28.6,23.5
2003,10,29,27.3,31.7,24.4
2003,10,30,26.6,32.2,23.8
2003,10,31,26.8,31.5,23.9
2013,10,1,28.8,32.3,26
2013,10,2,26.7,28.3,23.2
2013,10,3,27.6,31.3,25.3
2013,10,4,28.2,31.3,25.6
2013,10,5,27.9,31.7,22.7
2013,10,6,28.2,31.8,23.6
2013,10,7,28.5,33.1,23.9
2013,10,8,29.4,33.2,26.1
2013,10,9,28,32.2,23
2013,10,10,28,32,26
2013,10,11,27.2,29.4,25.5
2013,10,12,28.2,31.1,26.7
2013,10,13,28.1,31.8,25.9
2013,10,14,27.4,30.3,23.2
2013,10,15,26.7,30.2,20.9
2013,10,16,28.8,32.1,26
2013,10,17,28.9,32.7,26.2
2013,10,18,28.6,32.6,24.3
2013,10,19,27.6,32,24.8
2013,10,20,26.5,30.9,23.3
2013,10,21,27,30.4,24.6
2013,10,22,26.7,30.3,23.3
2013,10,23,27.6,32.6,25
2013,10,24,27.1,30.9,24.6
2013,10,25,28.1,31.9,25.3
2013,10,26,27.9,32.3,25.3
2013,10,27,26.7,31.7,24.7
2013,10,28,26.6,30.5,24.1
2013,10,29,27.6,31.1,24.9
2013,10,30,26.9,31.3,24.1
2013,10,31,27.6,31.5,24.7
2013,10,1,28.8,32.3,26
2013,10,2,26.7,28.3,23.2
2013,10,3,27.6,31.3,25.3
2013,10,4,28.2,31.3,25.6
2013,10,5,27.9,31.7,22.7
2013,10,6,28.2,31.8,23.6
2013,10,7,28.5,33.1,23.9
2013,10,8,29.4,33.2,26.1
2013,10,9,28,32.2,23
2013,10,10,28,32,26
2013,10,11,27.2,29.4,25.5
2013,10,12,28.2,31.1,26.7
2013,10,13,28.1,31.8,25.9
2013,10,14,27.4,30.3,23.2
2013,10,15,26.7,30.2,20.9
2013,10,16,28.8,32.1,26
2013,10,17,28.9,32.7,26.2
2013,10,18,28.6,32.6,24.3
2013,10,19,27.6,32,24.8
2013,10,20,26.5,30.9,23.3
2013,10,21,27,30.4,24.6
2013,10,22,26.7,30.3,23.3
2013,10,23,27.6,32.6,25
2013,10,24,27.1,30.9,24.6
2013,10,25,28.1,31.9,25.3
2013,10,26,27.9,32.3,25.3
2013,10,27,26.7,31.7,24.7
2013,10,28,26.6,30.5,24.1
2013,10,29,27.6,31.1,24.9
2013,10,30,26.9,31.3,24.1
2013,10,31,27.6,31.5,24.7
